Brand,Car Model,Price
Maruti,A-Star Vxi,"3,87,829"
Maruti,A-Star Zxi,"4,23,541"
Maruti,A-Star AT VXI,"4,37,737"
Chevrolet,Spark LPG 1.0 PS,"3,60,277"
Chevrolet,Spark LPG 1.0 LS,"3,82,948"
Chevrolet,Spark LPG 1.0 LT,"4,04,648"
Ford,Figo Petrol LXI,"3,69,500"
Ford,Figo Petrol EXI,"4,06,400"
Ford,Figo Petrol ZXI,"4,29,000"
Ford,Figo Diesel LXI,"4,59,500"
Ford,Figo Petrol Titanium,"4,67,400"
Ford,Figo Diesel EXI,"4,96,400"
Ford,Figo Diesel ZXI,"5,19,000"
Ford,Figo Diesel Titanium,"5,57,400"
Tata,Indica Vista Safire GLS,"3,88,401"
Tata,Indica Vista TDI LS,"4,29,883"
Tata,Indica Vista Safire GLX,"4,39,632"
Tata,Indica Vista Safire GVX,"4,66,459"
Tata,Indica Vista TDI LX,"4,73,162"
Tata,Indica Vista Quadrajet LS,"4,79,915"
Tata,Indica Vista Safire 90hp GLX,"5,14,654"
Tata,Indica Vista Quadrajet LX,"5,28,850"
Tata,Indica Vista Quadrajet VX,"5,46,907"
Tata,Indica Vista Safire 90hp GVX,"5,55,195"
Tata,Indica Vista Quadrajet ZX,"6,06,700"
Tata,Indica Vista Safire 90hp GZX,"6,11,180"
Toyota,Etios Liva J,"3,99,000"
Toyota,Etios Liva G,"4,59,000"
Toyota,Etios Liva G Plus,"5,05,900"
Toyota,Etios Liva V,"5,49,950"
Toyota,Etios Liva Diesel,"5,54,000"
Toyota,Etios Liva GD Safety,"5,84,500"
Toyota,Etios Liva VX,"5,99,000"
Maruti,Ritz LXi,"4,03,251"
Maruti,Ritz VXi,"4,38,716"
Maruti,Ritz Genus VXi,"4,52,459"
Maruti,Ritz VXi (ABS) BS IV,"4,62,762"
Maruti,Ritz LDi,"4,92,559"
Maruti,Ritz ZXi,"5,00,072"
Maruti,Ritz VDi,"5,28,676"
Maruti,Ritz Genus VDi,"5,31,519"
Maruti,Ritz VDI (ABS) BS IV,"5,47,014"
Chevrolet,Aveo U-VA 1.2,"4,07,579"
Chevrolet,Aveo U-VA 1.2 LS,"4,13,779"
Chevrolet,Aveo U-VA 1.2 LT Option Pack,"4,89,403"
Chevrolet,Aveo U-VA 1.2 LT,"5,01,768"
Nissan,Micra XE,"4,10,500"
Nissan,Micra XE Plus,"4,37,500"
Nissan,Micra XL,"4,72,500"
Nissan,Micra XV,"5,38,300"
Nissan,Micra Diesel XV,"5,69,670"
Nissan,Micra Diesel XV Premium,"6,14,000"
Tata,Indigo CS GLX GLX BS-III,"4,10,509"
Tata,Venture CX,"4,13,815"
Tata,Venture EX,"4,63,816"
Tata,Venture GX,"5,13,816"
Maruti,Swift LXI,"4,22,341"
Maruti,Swift VXI,"4,75,983"
Maruti,Swift LDI BSIV,"5,17,162"
Maruti,Swift ZXI,"5,53,226"
Maruti,Swift VDI BS IV,"5,60,661"
Maruti,Swift ZDi,"6,37,903"
Hindustan Motors,Ambassador Classic 1800 Isz Cng,"4,31,112"
Hindustan Motors,Ambassador Classic 1800 Isz Mpfi,"4,46,816"
Hindustan Motors,Ambassador Classic 1800 Isz Mpfi Ps,"4,61,715"
Hindustan Motors,Ambassador Classic 2000 Dsz,"4,64,526"
Hindustan Motors,Ambassador Grand 2000 DSZ,"4,64,526"
Hindustan Motors,Ambassador Classic 1800 Isz AC Cng,"4,68,343"
Hindustan Motors,Ambassador Classic 1800 IszMpfi AC,"4,69,447"
Hindustan Motors,Ambassador Classic 1800 ISZ MPFI AC PS,"4,79,670"
Hindustan Motors,Ambassador Classic 2000 DSZ  AC,"4,85,084"
Hindustan Motors,Ambassador Grand 1800 ISZ MPFI,"4,87,765"
Hindustan Motors,Ambassador Grand 1800 ISZ MPFI PW CL,"5,19,577"
Hindustan Motors,Ambassador Avigo 1800 ISZ MPFI AC,"5,54,426"
Hindustan Motors,Ambassador Avigo 2000 DSZ,"6,04,113"
Fiat,Grande Punto Active,"4,31,558"
Fiat,Grande Punto 1.2 Dynamic,"4,62,565"
Fiat,Grande Punto 1.2 Emotion,"4,93,572"
Fiat,Grande Punto Active (Diesel),"5,17,578"
Fiat,Grande Punto 1.4 Emotion,"5,44,585"
Fiat,Grande Punto 1.3 Dynamic (Diesel),"5,51,586"
Fiat,Grande Punto 1.3 Emotion (Diesel),"5,94,595"
Fiat,Grande Punto 1.4 Emotion Pack,"6,01,871"
Fiat,Grande Punto 1.3 Emotion Pack (Diesel),"6,50,609"
Fiat,Grande Punto 1.3 Emotion Pack 90HP (Diesel),"6,84,763"
Fiat,Palio Stile Multijet 1.3 SD,"4,37,757"
Fiat,Palio Stile Multijet 1.3 SDE,"4,57,436"
Fiat,Palio Stile Multijet 1.3 SDX,"4,77,117"
Mahindra,Thar 4X2,"4,47,000"
Mahindra,Thar 4X4,"6,17,808"
Tata,Indigo CS eGLS BS IV,"4,48,056"
Tata,Indigo CS LE (TDI) BS-III,"4,58,852"
Tata,Indigo CS eGLX BS IV,"4,68,303"
Tata,Indigo CS eGVX,"4,97,727"
Tata,Indigo CS LS (TDI) BS-III,"4,99,266"
Tata,Indigo CS LX (TDI) BS-III,"5,28,860"
Tata,Indigo CS eLS BS IV,"5,28,895"
Tata,Indigo CS eLX BS IV,"5,51,555"
Tata,Indigo CS eVX,"5,80,339"
Tata,Spacio A1 ST-10 Seats BSII,"4,49,119"
Tata,Spacio 10/6 Str BS-II,"4,97,546"
Tata,Spacio Gold-10/6 Str BSII,"5,18,914"
Tata,Spacio Gold-10/6 Str BSIII,"5,34,006"
Volkswagen,Polo Petrol Trendline 1.2L,"4,57,000"
Volkswagen,Polo Petrol Breeze,"5,01,428"
Volkswagen,Polo Petrol Comfortline 1.2L,"5,08,500"
Volkswagen,Polo Comfortline Breeze,"5,56,583"
Volkswagen,Polo Diesel Trendline 1.2L,"5,59,000"
Volkswagen,Polo Petrol Highline 1.2L,"6,04,200"
Volkswagen,Polo Diesel Comfortline 1.2L,"6,10,500"
Volkswagen,Polo Petrol Highline 1.6L,"6,38,700"
